min_n,tree_depth,learn_rate,loss_reduction,.metric,.estimator,mean,n,std_err,.config
16,13,0.002839658205772143,1.458611849480208e-5,roc_auc,binary,0.6547208376333683,5,0.004408518036587243,Preprocessor1_Model06
16,13,0.002839658205772143,1.458611849480208e-5,sens,binary,1,5,0,Preprocessor1_Model06
20,1,0.002967107257952561,2.7963173184699275,accuracy,binary,0.9532125737694619,5,0.0013185380871429534,Preprocessor1_Model07
20,1,0.002967107257952561,2.7963173184699275,kap,binary,0,5,0,Preprocessor1_Model07
20,1,0.002967107257952561,2.7963173184699275,roc_auc,binary,0.5902338890897088,5,0.0014478730350011735,Preprocessor1_Model07
20,1,0.002967107257952561,2.7963173184699275,sens,binary,1,5,0,Preprocessor1_Model07
30,8,0.011520577262218659,1.3015964037885232e-6,accuracy,binary,0.9532125737694619,5,0.0013185380871429534,Preprocessor1_Model08
30,8,0.011520577262218659,1.3015964037885232e-6,kap,binary,0,5,0,Preprocessor1_Model08
30,8,0.011520577262218659,1.3015964037885232e-6,roc_auc,binary,0.6601169656968412,5,0.005871210412930638,Preprocessor1_Model08
30,8,0.011520577262218659,1.3015964037885232e-6,sens,binary,1,5,0,Preprocessor1_Model08
34,7,0.04053955402557627,0.29841023224747165,accuracy,binary,0.9532125737694619,5,0.0013185380871429534,Preprocessor1_Model09
34,7,0.04053955402557627,0.29841023224747165,kap,binary,0,5,0,Preprocessor1_Model09
34,7,0.04053955402557627,0.29841023224747165,roc_auc,binary,0.6656580684235838,5,0.0065651701058897,Preprocessor1_Model09
34,7,0.04053955402557627,0.29841023224747165,sens,binary,1,5,0,Preprocessor1_Model09
18,4,1.7958128970784652e-7,0.6387703758140536,accuracy,binary,0.9532125737694619,5,0.0013185380871429534,Preprocessor1_Model10
18,4,1.7958128970784652e-7,0.6387703758140536,kap,binary,0,5,0,Preprocessor1_Model10
18,4,1.7958128970784652e-7,0.6387703758140536,roc_auc,binary,0.5956160254843536,5,0.003249236442747208,Preprocessor1_Model10
18,4,1.7958128970784652e-7,0.6387703758140536,sens,binary,1,5,0,Preprocessor1_Model10
21,10,1.0169478306098353e-10,0.002524055270897976,accuracy,binary,0.9532125737694619,5,0.0013185380871429534,Preprocessor1_Model11
21,10,1.0169478306098353e-10,0.002524055270897976,kap,binary,0,5,0,Preprocessor1_Model11
21,10,1.0169478306098353e-10,0.002524055270897976,roc_auc,binary,0.5,5,0,Preprocessor1_Model11
21,10,1.0169478306098353e-10,0.002524055270897976,sens,binary,1,5,0,Preprocessor1_Model11
26,6,2.5552073728138618e-8,5.217707237521669e-9,accuracy,binary,0.9532125737694619,5,0.0013185380871429534,Preprocessor1_Model12
26,6,2.5552073728138618e-8,5.217707237521669e-9,kap,binary,0,5,0,Preprocessor1_Model12
26,6,2.5552073728138618e-8,5.217707237521669e-9,roc_auc,binary,0.6025604194657035,5,0.004559758647787084,Preprocessor1_Model12
26,6,2.5552073728138618e-8,5.217707237521669e-9,sens,binary,1,5,0,Preprocessor1_Model12
14,11,8.385628942115653e-8,0.015364357679535205,accuracy,binary,0.9532125737694619,5,0.0013185380871429534,Preprocessor1_Model13
14,11,8.385628942115653e-8,0.015364357679535205,kap,binary,0,5,0,Preprocessor1_Model13
